year,holdnum,slavenum,sizehold,statefip,stateicp,countyicp,county,urban,city,citypop,metro,metarea,mdstatus,metdist,urbarea,age,gender,norm_race,histid_slave,histid,linkpop,version
1850.0,308247.0,4.0,5.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,M,B,d390b3e5-9adc-4b51-a760-73ccc2ef24e7,66d82c4b-120c-48db-bbb4-d93c3636cae8,1.0,1.0
1850.0,308247.0,5.0,5.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,F,B,06e61366-d590-42f2-9207-3d0abf7c2e44,66d82c4b-120c-48db-bbb4-d93c3636cae8,1.0,1.0
1850.0,308231.0,1.0,5.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,60.0,F,B,80c25622-abaa-420a-8416-c0ef2932a223,606d3f19-6ccb-41a2-9459-be1fd5c98d22,1.0,1.0
1850.0,308231.0,2.0,5.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,35.0,F,B,0535df1c-ad1f-446f-9e0d-3041bd0cca77,606d3f19-6ccb-41a2-9459-be1fd5c98d22,1.0,1.0
1850.0,308231.0,3.0,5.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,17.0,M,B,84497dd8-ca31-4001-b4d3-df7e2e93b31c,606d3f19-6ccb-41a2-9459-be1fd5c98d22,1.0,1.0
1850.0,308231.0,4.0,5.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,F,B,5d8edc70-b4e3-414d-8d9d-d49864b6dba3,606d3f19-6ccb-41a2-9459-be1fd5c98d22,1.0,1.0
1850.0,308231.0,5.0,5.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,F,B,2c518f4a-ad27-4dda-905d-00cca4907295,606d3f19-6ccb-41a2-9459-be1fd5c98d22,1.0,1.0
1850.0,308248.0,1.0,11.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,50.0,M,B,72b75dcc-9b41-4ad2-9667-9f643ce75c05,a54fc21a-41f8-4d6a-b2ee-5a720d842747,1.0,1.0
1850.0,308248.0,2.0,11.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,F,B,2cda6521-c692-4a5b-a4a8-4c21703a1ed9,a54fc21a-41f8-4d6a-b2ee-5a720d842747,1.0,1.0
1850.0,308248.0,3.0,11.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,F,B,11599236-fef2-45a7-a2ce-ffd3d7988084,a54fc21a-41f8-4d6a-b2ee-5a720d842747,1.0,1.0
