source_year,target_year,histid_source,line_source,histid_target,line_target,source_row_index,target_row_index,reason
1870,1880,93A0A394-651C-44B8-BBFA-6D083C1EFE38,12718,E9E6B7AD-F872-40DF-AA2B-BCC56D86C4B7,27615,,13587,Target in row 13587 already has id_1870=20453 (conflicts with source line 12718)
1870,1880,182ADF9B-D00B-4572-B99B-08D2DF8E3B13,13250,B413B66A-D4E4-41B4-AA98-CAD404D158FB,2852,,11257,Target in row 11257 already has id_1870=11953 (conflicts with source line 13250)
1870,1880,E2A76CDC-737D-448D-BB55-96FA3A87CACE,14448,33E6D75B-CDA0-4243-8877-1869C00FBA45,12365,5788,,Source row 5788 already has id_1880=16894 (conflicts with target line 12365)
1870,1880,67A11564-C1D1-4E15-B895-F7834F20A764,15163,230D2136-F3F0-4117-86D9-AF12E2CE5867,22889,3151,1929,"Source histid in row 3151, target histid in row 1929"
1870,1880,9E4EF845-0FD0-402C-92B2-B7B26745D291,16156,3CF0F46A-0A16-404D-B62F-F512DF7CAD0F,22537,,12276,Target in row 12276 already has id_1870=15722 (conflicts with source line 16156)
1870,1880,1589F27B-28F3-431F-81C2-71AFE1059B84,16278,C8A73E0A-FECA-4BF5-9FFF-ED4FE9DAA4DD,19081,,11596,Target in row 11596 already has id_1870=13151 (conflicts with source line 16278)
1870,1880,83FCA8B4-E046-4591-9C04-8FC6F8BCCB2E,16324,3DD14293-B3B8-4A79-AD90-52CE1761B51B,2835,,12827,Target in row 12827 already has id_1870=17761 (conflicts with source line 16324)
1870,1880,2DD05926-8C61-4E4E-9946-3134F8187DE8,16377,7AF38F3B-616E-48B8-B5BB-EDF5AD8A8708,5703,2627,,Source row 2627 already has id_1880=21919 (conflicts with target line 5703)
1870,1880,1BD0B7A7-A490-4742-8453-DD763821D8E5,17533,6981BD8C-37CD-458A-A24B-2B91B352B69C,5762,12769,,Source row 12769 already has id_1880=19831 (conflicts with target line 5762)
1870,1880,4B535302-E241-4930-947E-7F5048F84643,18430,F06BF9DE-596E-482D-BCE1-F7DB5C86A6D6,26578,12997,2882,"Source histid in row 12997, target histid in row 2882"
1870,1880,5C346E63-D7A3-4E99-8704-CE7C6860AFFF,18444,F61C6CC0-96D9-42B8-9935-8516B942A0C2,8538,3237,,Source row 3237 already has id_1880=21655 (conflicts with target line 8538)
1870,1880,3FFE7E9A-953D-498D-9C6C-792DA150D3EF,18526,AA37E7EC-5674-4C12-89F2-569932568E11,14704,,10372,Target in row 10372 already has id_1870=9306 (conflicts with source line 18526)
1870,1880,A34E5A52-EE72-4F68-82F1-BBC22C912600,19175,EB88E88A-DBB5-4920-8BFB-DDBE29B899C0,20630,13212,,Source row 13212 already has id_1880=20864 (conflicts with target line 20630)
1870,1880,BD402122-DA75-463C-AA56-B7663239157B,19379,C7C8065E-C3FB-4A50-9E90-053C6D88CAE7,23395,4200,2869,"Source histid in row 4200, target histid in row 2869"
1870,1880,DA83E46B-F65D-4CD6-BA2A-7C35FDE00A0F,20512,04A69854-68FA-4140-A32C-D1DE259B8E19,25329,13600,,Source row 13600 already has id_1880=25584 (conflicts with target line 25329)
1870,1880,3FD33376-B6FC-48BF-8A7C-F766C135453D,21205,1ECD4A5B-2285-4745-AA87-D2F0B4DB8528,26316,3528,,Source row 3528 already has id_1880=28206 (conflicts with target line 26316)
1870,1880,AA048170-6300-4875-93EE-384A3DF2882C,22123,BF4D5735-C9D8-4176-B93B-423D6FFE7F4E,27694,14025,1404,"Source histid in row 14025, target histid in row 1404"
1870,1880,ADE6BD69-35D8-4FB7-9390-53924E0B8452,22577,71C8DA07-0B1E-495E-9D03-C8D5CA86B028,35465,14084,9211,"Source histid in row 14084, target histid in row 9211"
1870,1880,735F1B33-4684-407B-A4F3-F427A47E4901,23319,33C6D8E5-A6AC-4F01-8CD3-15536C78E419,31093,,14349,Target in row 14349 already has id_1870=23486 (conflicts with source line 23319)
1870,1880,54F2C3B4-0A19-4F61-A30B-E7DCC693E6AB,23738,B29BA55E-8F67-48B7-9096-A5CBD1262CAC,33194,14434,,Source row 14434 already has id_1880=32675 (conflicts with target line 33194)
1870,1880,9A6AA24D-4CCB-461D-AE46-9ACA952ADDAD,24416,AC36AA48-4D7F-411E-804E-94B4A46FA773,3729,,15542,Target in row 15542 already has id_1870=28560 (conflicts with source line 24416)
1870,1880,69A39E24-64E4-4987-8F2E-6C0C9BF9BF18,25301,5F27CFD6-1B92-46C8-90F7-1A632D1677F1,27778,14846,,Source row 14846 already has id_1880=29217 (conflicts with target line 27778)
1870,1880,5F36227F-DE30-4ED6-8451-A8CA7EB61BE7,25585,FE7A4EF5-61C1-43CE-8ADD-402BF38FEA2D,31120,14921,14987,"Source histid in row 14921, target histid in row 14987"
1870,1880,7E586E23-72C8-4C50-815B-371809058D8D,25796,045776C0-59A3-490E-96CB-D0E54E81CFDA,30758,14987,14921,"Source histid in row 14987, target histid in row 14921"
1870,1880,D5976170-9A41-4649-8410-A7B4893D8846,26662,EDD87434-9FC8-4F42-B03D-B9B354D42860,31107,15063,,Source row 15063 already has id_1880=5187 (conflicts with target line 31107)
1870,1880,475BD233-8010-41DF-905F-6F6FF76B6596,26884,C8C4CC8E-D8EC-4952-8948-167CBDE4B27A,3182,15130,,Source row 15130 already has id_1880=3183 (conflicts with target line 3182)
1870,1880,DA7A4656-3206-4B90-B983-79B5C86F1371,26885,C4952E99-3480-43F9-BCC7-43BE83E7F378,3183,,15130,Target in row 15130 already has id_1870=26884 (conflicts with source line 26885)
1870,1880,C6A0A5A1-CD1C-4D96-9BA8-460B7ABAFEC0,27156,F38E342A-C8B3-49DC-A628-0E27FB940683,2680,15212,,Source row 15212 already has id_1880=1847 (conflicts with target line 2680)
1870,1880,87F3AF73-DF5C-4D7A-BD9D-426E31118594,27159,080B82A7-BDD7-434A-B86B-377328D5060B,29147,15215,15128,"Source histid in row 15215, target histid in row 15128"
1870,1880,6FBA3BF9-EB88-4249-BC3C-A472FFACDB42,27395,4C4222BB-8CAA-441B-AA37-6A90B5C2C344,20200,15264,3342,"Source histid in row 15264, target histid in row 3342"
1870,1880,1559C043-2549-4DD4-9372-5A8CAD8241F2,27629,A98EBDA4-741A-4FBA-A0B6-F465CC5C35B9,28827,,11460,Target in row 11460 already has id_1870=12605 (conflicts with source line 27629)
1870,1880,1AB6E6D0-45E5-4B46-AEC5-6CDCE1FBB26F,28588,EF171F38-9C4B-47D8-91AA-E3CFAFBDEB34,4225,15552,,Source row 15552 already has id_1880=3584 (conflicts with target line 4225)
